Province name,District municipality name,District/Local municipality name,Total Population,Black African,Coloured,Indian/Asian,White,Informal Dwelling,Piped (tap) water on community stand,No access to piped (tap) water,Pit toilet,Bucket toilet,Communal refuse dump,Communal container/central collection point,Own refuse dump,Dump or leave rubbish anywhere (no rubbish disposal),Gas for lighting,Paraffin for lighting,Candles for lighting,Paraffin for cooking,Wood for cooking,Coal for cooking,Animal dung for cooking
Limpopo,Vhembe,Thulamela,575928.5642,568001.6778,713.9064433,6390.442166,473.0239255,792.7249167,31502.69334,25946.27234,94110.07835,2145.565174,1562.049809,3900.295558,83941.52253,9773.093764,393.8088316,162.5724084,1502.449356,146.3200388,70998.93654,123.6757744,12.09453696
Limpopo,Vhembe,Makhado,502451.8125,484732.6874,1480.926646,3368.337583,12118.00649,2663.667297,26199.54567,39718.58368,90986.03249,2459.554992,2775.995338,3109.032206,96779.55343,5998.229422,214.4244393,209.9081512,2970.844904,1233.622017,64688.44015,67.69644263,4.723900731
Limpopo,Vhembe,Collins Chabane,443797.5854,441911.8327,584.1034684,563.1051228,542.5204502,747.7403875,27322.65626,23274.09194,71199.451,2038.101575,1336.281122,708.9622169,74430.4367,12988.79627,89.71227924,156.8833436,2331.206008,179.6816817,68880.95383,85.00909451,3.542925548
Limpopo,Capricorn,Capricorn,1447103.052,1388049.721,7274.45623,10526.78604,38470.69261,11249.88446,54617.26036,54289.15223,228719.4891,5654.839372,6943.228949,8505.468138,214238.6795,19581.12802,1329.602243,1523.69038,10735.91539,6434.246571,71669.55433,124.1198407,63.2315883
Limpopo,Capricorn,Blouberg,192109.2671,190214.9952,301.649147,500.5778688,767.7157931,1174.301567,15272.14712,5195.819107,35863.70592,1087.618171,1044.883034,698.3109235,32757.31059,3313.241606,319.40852,73.18505914,726.9157802,138.0546222,23412.92582,27.1624292,3.542925548
Limpopo,Capricorn,Molemole,127130.3199,124977.9881,207.4740564,319.6882492,1386.127701,392.2429568,5312.452637,7105.070014,25460.86268,1562.352597,870.7194831,540.2394925,27786.74761,2099.320318,382.6674386,166.5427685,767.3064859,249.2697356,5867.750079,6.189661047,15.13822559
Limpopo,Capricorn,Polokwane,843458.9974,790541.6164,6349.469629,8965.114863,35795.47117,8612.548695,25639.34298,27085.51446,120916.3049,1629.032517,4371.241469,6748.151054,107660.2445,9281.319251,556.7307269,1128.367329,7611.686335,5774.041736,22879.59381,57.41566022,42.1884868
Limpopo,Capricorn,Lepelle-Nkumpi,284404.4672,282315.1216,415.8633968,741.4050607,521.3779457,1070.791243,8393.317625,14902.74865,46478.61569,1375.836088,656.3849638,518.7666676,46034.37676,4887.246842,70.79555767,155.5952231,1630.006791,272.8804765,19509.28462,33.35209025,2.361950366
Limpopo,Waterberg,Waterberg,762862.3812,688084.2199,2905.685204,4083.130853,66105.07752,18717.22859,31468.84178,28017.69625,92422.98604,3637.267684,5170.196634,4410.429956,88583.36883,14705.98639,722.5442049,829.9323177,11015.76254,5685.769967,45341.2466,122.5547773,13.06106036
Limpopo,Waterberg,Thabazimbi,65047.1111,49504.24229,327.6303078,285.280971,14795.89867,3965.635412,3479.362874,1712.840815,3603.444668,677.2737885,396.0201959,728.4683751,5462.144109,1166.247513,27.90116485,59.4155886,886.6508711,1308.563357,1456.703394,20.68453127,0.0
Limpopo,Waterberg,Lephalale,125198.0669,115485.2905,410.1359441,429.0895309,8702.109034,4930.736282,7590.244097,5115.398181,20014.53256,463.5635034,1638.604947,1725.295303,15905.69108,3253.279583,86.11600986,212.4001787,2231.338333,1177.691016,10579.17129,13.95725041,1.180975183
Limpopo,Waterberg,Bela-Bela,64306.26671,55471.90182,880.0211638,563.7872283,7195.090041,2453.514639,1029.858688,2029.538625,4154.244446,209.8079567,283.6688001,243.4861785,4508.999486,1366.137031,107.7584198,258.0431986,2374.893408,1548.199209,2108.084196,18.99443496,4.509448944
Limpopo,Waterberg,Mogalakwena,378197.5458,362046.3523,818.4719461,2161.021566,12516.15988,2269.412379,15462.09421,15357.96986,58648.06026,776.3696184,2112.345488,362.6782689,54417.36956,7098.569722,453.8125615,126.2526531,2043.448887,606.4330538,26414.27679,40.50827469,5.904875914
Limpopo,Waterberg,Modimolle-Mookgophong,130113.3908,105576.433,469.4258418,643.9515567,22895.8199,5097.929874,3907.281907,3801.948773,6002.704112,1510.252818,739.5572031,1350.501831,8289.164596,1821.752544,46.95604896,173.8206987,3479.431036,1044.883332,4783.01093,28.41028598,1.465760316
Limpopo,Sekhukhune,Sekhukhune,1336805.273,1314802.753,2481.065504,4058.528433,13774.96003,8946.642864,64431.73593,115403.9719,233157.5369,6143.896904,5673.215088,3478.123516,221418.913,26968.07822,1298.993856,1348.410349,12850.8212,6555.366041,75507.53581,1004.824693,161.4678171
Limpopo,Sekhukhune,Ephraim Mogale,132468.1462,129652.0251,249.5122618,391.5496913,1827.466897,537.911213,2014.023545,12114.73763,23959.89569,627.8075532,429.3848023,312.1541619,21843.50587,2311.613882,210.0694641,59.685211,636.1343738,150.9099611,11776.45889,16.20703278,4.723900731
Limpopo,Sekhukhune,Elias Motsoaledi,288048.6346,279736.1744,504.5975747,1261.043983,6176.806089,2370.398164,10993.00661,29003.98713,47214.00372,1942.97162,1983.444415,659.0940421,45224.05428,6842.731053,300.4562232,262.3770246,2598.538346,1054.429031,9576.336691,853.9864895,56.75714212
Limpopo,Sekhukhune,Makhuduthamaga,340328.1579,338658.0193,456.5769595,517.939145,372.3136089,1368.103001,22615.18624,23616.39185,60457.12568,1034.519743,1692.893608,1491.51292,56792.82301,4325.150025,288.136826,207.1799709,2122.539576,1088.783228,22564.85603,90.93508908,61.38959086
Limpopo,Sekhukhune,Fetakgomo Tubatse,575960.3343,566756.5344,1270.378708,1887.995614,5398.373437,4670.230486,28809.51954,50668.85531,101526.5118,2538.597988,1567.492262,1015.362392,97558.52984,13488.58326,500.3313422,819.1681427,7493.608899,4261.243822,31589.88419,43.69608176,38.59718335
